gene,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,cpm_total_poly_1,cpm_total_poly_2,cpm_total_poly_3,cpm_total_poly_4,cpm_LNCaP_TCT1_80S_S34,cpm_LNCaP_TCT2_80S_S38,cpm_LNCaP_TCT3_80S_S42,cpm_LNCaP_TCT4_80S_S46,raw_total_poly_1,raw_total_poly_2,raw_total_poly_3,raw_total_poly_4,raw_LNCaP_TCT1_80S_S34,raw_LNCaP_TCT2_80S_S38,raw_LNCaP_TCT3_80S_S42,raw_LNCaP_TCT4_80S_S46
LGSN,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
PTP4A1,22.06802134,6.929142658,1.492057769,4.428256535,9.49979E-06,0.00013936,0.007277774,0.839245715,1.378858182,0.992795573,0,0,0,0,1,121,185,65,0,0,0,0
PHF3,2788.706676,-0.969241892,0.291837348,-2.218063598,0.026550496,0.112441152,37.28403579,36.54533615,26.19085217,30.71556764,27.50178588,43.30495683,23.22533421,27.15930044,5123,5269,3514,2011,1778,3376,1645,1063
EYS,6.688417323,-5.690415276,1.660738128,-3.232591033,0.00122673,0.009209662,0,0.006935915,0,0.015273778,0.015467821,0,0.282374884,0.178847698,0,1,0,1,1,0,20,7
LMBRD1,1168.007838,0.256636812,0.312890458,0,1,1,20.02843383,26.68246502,18.75992456,23.2314164,9.961276774,10.58252055,5.421597773,8.354742467,2752,3847,2517,1521,644,825,384,327
COL19A1,0.112220825,-0.527901192,3.516794181,-0.058568425,0.953295861,,0.014555548,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0
COL9A1,0.948280057,-4.415269786,3.46227424,-1.182269632,0.237098731,,0,0,0,0,0,0.064136488,0,0,0,0,0,0,0,5,0,0
FAM135A,187.1637418,-0.254806256,0.392937443,0,1,1,1.608388036,1.484285811,4.740290832,4.734871193,1.14461876,1.859958158,2.287236561,1.55852994,221,214,636,310,74,145,162,61
SMAP1,2368.559957,-0.806484009,0.28037583,-1.728237108,0.083945723,0.275740292,31.44726111,28.54822615,28.56099759,32.39568323,29.31152094,26.56533341,16.64599941,24.47658497,4321,4116,3832,2121,1895,2071,1179,958
B3GAT2,16.32917401,-1.721520856,0.556127048,-2.516678099,0.011846701,0.060215321,0.094611061,0.1387183,0.141612462,0.168011558,0.185613853,0.166754869,0.296493628,0.178847698,13,20,19,11,12,13,21,7
OGFRL1,2076.802383,-1.308287956,0.364157355,-2.708608927,0.006756593,0.038064128,10.7419943,12.58174982,29.89513605,34.2896317,13.5034078,17.71449804,34.09676725,37.48136758,1476,1814,4011,2245,873,1381,2415,1467
RIMS1,129.3440053,-0.548181825,0.353165183,-0.640645625,0.521752949,0.970569717,1.360943723,2.316595611,2.079467204,1.619020472,0.603245022,1.731685181,1.736605537,1.175284873,187,334,279,106,39,135,123,46
KCNQ5,395.9718482,-0.28447838,0.316082909,0,1,1,5.603885918,5.465501022,7.334034872,6.949569009,2.490319193,2.937451159,6.55109731,2.631616129,770,788,984,455,161,229,464,103
KHDC1L,1.791009815,-2.47972958,2.580988763,-0.836036761,0.403134223,,0.007277774,0.02774366,0,0,0,0.102618381,0,0,1,4,0,0,0,8,0,0
KHDC1,644.9526072,0.071516858,0.20645969,0,1,1,9.635772669,8.447944474,14.22087249,15.05994515,4.439264649,5.336155818,5.110985401,6.106371406,1324,1218,1908,986,287,416,362,239
DPPA5,0.626507872,-3.016478509,3.371124502,-0.799303144,0.424114656,,0,0,0.007453287,0,0,0.025654595,0.014118744,0,0,0,1,0,0,2,1,0
KHDC3L,0,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
OOEP,152.597287,-0.07565487,0.289827277,0,1,1,1.964998958,1.907376626,3.011128138,3.803170732,1.330232613,1.128802192,1.256568234,1.430781585,270,275,404,249,86,88,89,56
