gene_name,Ensembl_ID,outdegree_diff,rank_outdegree,baseMean,log2FoldChange,lfcSE,stat,pvalue,padj,logpvalue,rank_exp,chromvar_ave_diff,motif_name,rank_chromvar,TF_rank,,,,,,,,,,,,,,
FOXH1,ENSG00000160973,114.7880126,166,14.9153967,1.068944938,0.635344697,1.682464561,0.092478791,0.282622487,-1.033957855,74,0.974369216,FOXH1_M2281_1.02,253,493,,,,,,,,,,,,,,
ZNF32,ENSG00000169740,100.9916742,178,645.0235776,0.774199297,0.39326786,1.968630993,0.048995481,0.193545741,-1.309843975,54,0.735426201,ZNF32_M0437_1.02,263,495,,,,,,,,,,,,,,
FOXN2,ENSG00000170802,1894.300723,8.5,1579.072829,-0.545403695,0.427684374,-1.275248124,0.202221433,0.441573874,-0.694172817,476,29.65598552,FOXN2_M6241_1.02,11,495.5,,,,,,,,,,,,,,
FOXE3,ENSG00000186790,830.5504836,40.5,2.534285871,-1.052193356,1.074688856,-0.979067895,0.327546433,0.576344844,-0.484727125,433,26.06700986,FOXE3_M1863_1.02,22.5,496,,,,,,,,,,,,,,
FOXI1,ENSG00000168269,2097.796503,3,1.436835464,-3.276267138,2.384669878,-1.373887081,0.169476741,NA,-0.770889896,487,26.98397628,FOXI1_M3383_1.02,16,506,,,,,,,,,,,,,,
HNF4A,ENSG00000101076,221.0308243,101,4.750743433,-0.683763856,1.335826247,-0.511865864,0.60874489,0.792103201,-0.215564671,339,8.868465818,HNF4A_M4699_1.02,69,509,,,,,,,,,,,,,,
FOXP1,ENSG00000114861,1294.724113,21,3204.635894,-0.633168626,0.503875558,-1.25659722,0.208899522,0.449383277,-0.680062554,473,26.19108299,FOXP1_M0717_1.02,19.5,513.5,,,,,,,,,,,,,,
YY2,ENSG00000230797,22.83535326,288,95.51622404,0.920082554,0.433107933,2.124372435,0.033639013,0.153516859,-1.473156755,43,2.979670289,YY2_M5956_1.02,188,519,,,,,,,,,,,,,,
FOXO1,ENSG00000150907,1227.409958,23,609.9406573,-0.730970866,0.576027115,-1.268986907,0.204445734,0.44402028,-0.689421947,474,26.06700986,FOXO1_M5462_1.02,22.5,519.5,,,,,,,,,,,,,,
FOXL1,ENSG00000176678,1775.289226,10,24.62432599,-2.765548571,1.988413203,-1.390831929,0.164276398,0.394286363,-0.784424827,493,26.33102812,FOXL1_M5461_1.02,18,521,,,,,,,,,,,,,,
CPEB1,ENSG00000214575,476.7684573,69,25.71200292,-0.862026658,1.305990001,-0.660056094,0.509217833,0.725093906,-0.293096395,366,6.825663036,CPEB1_M5322_1.02,87,522,,,,,,,,,,,,,,
ARX,ENSG00000004848,212.1523362,106,19.06044457,1.539957404,1.076462082,1.430572828,0.15255268,0.378823223,-0.816580159,95,-0.731827655,ARX_M5291_1.02,321,522,,,,,,,,,,,,,,
HOXC6,ENSG00000197757,200.8263571,109,427.7943561,1.78672494,0.873214547,2.046146558,0.040741953,0.172872644,-1.389958151,48,-1.736864774,HOXC6_M6299_1.02,367,524,,,,,,,,,,,,,,
HOXA11,ENSG00000005073,242.9188002,97,368.7816888,0.530969141,1.094177337,0.485267902,0.627486321,0.8054731,-0.202395737,191,1.378493414,HOXA11_M1007_1.02,238,526,,,,,,,,,,,,,,
TBPL2,ENSG00000182521,208.6218249,108,0.445220634,-0.432126303,1.701669729,-0.253942522,0.799539963,NA,-0.097159824,297,4.976979648,TBPL2_M1641_1.02,124,529,,,,,,,,,,,,,,
NFYC,ENSG00000066136,188.6720395,115,2001.447854,-0.103227471,0.251298178,-0.410776837,0.681236179,0.838071333,-0.166702295,324,6.581079216,NFYC_M6373_1.02,91,530,,,,,,,,,,,,,,
FOXJ3,ENSG00000198815,1710.249477,13,5297.353561,-0.363454765,0.277820728,-1.308234871,0.190793658,0.427141937,-0.719436066,483,24.97460438,FOXJ3_M5456_1.02,35,531,,,,,,,,,,,,,,
GATA4,ENSG00000136574,387.0331665,78,6.887268257,-1.433383755,1.63677964,-0.875734106,0.3811746,0.626385431,-0.418876047,410,14.46353442,GATA4_M6256_1.02,51,539,,,,,,,,,,,,,,
POU2F2,ENSG00000028277,284.2650399,85,100.082591,-0.063991885,0.811496255,-0.078856661,0.937146635,0.971052663,-0.02819245,272,3.167672425,POU2F2_M4474_1.02,182,539,,,,,,,,,,,,,,
HMBOX1,ENSG00000147421,91.20712768,184,828.0183668,0.862585832,0.466385885,1.849511018,0.064384058,0.227752902,-1.191221652,62,-0.050864222,HMBOX1_M5517_1.02,299,545,,,,,,,,,,,,,,
FUBP1,ENSG00000162613,519.9036154,65,8162.526553,-0.333705568,0.380152396,-0.877820506,0.380041134,0.625345545,-0.420169394,411,8.704016795,FUBP1_M6251_1.02,70,546,,,,,,,,,,,,,,
CUX1,ENSG00000257923,123.1016775,159,1913.262651,0.119732132,0.411926542,0.290663795,0.771308464,0.888685441,-0.112771903,225,3.602874155,CUX1_M3022_1.02,162,546,,,,,,,,,,,,,,
THRB,ENSG00000151090,-3.448585368,334,1121.241931,1.503222463,0.87236092,1.723165755,0.084858555,0.268561367,-1.07130437,71,4.361133256,THRB_M6523_1.02,141,546,,,,,,,,,,,,,,
POU3F3,ENSG00000198914,541.1853004,63,40.48043511,4.066056779,2.139026982,1.900890832,0.057316313,0.211877892,-1.241721753,59,-3.613972437,POU3F3_M5736_1.02,431,553,,,,,,,,,,,,,,
NR2C1,ENSG00000120798,81.64515634,192,1517.954597,0.125764552,0.251579608,0.499899625,0.617145756,0.798135236,-0.209612253,187,3.233254845,NR2C1_M6389_1.02,179,558,,,,,,,,,,,,,,
HMG20B,ENSG00000064961,211.981013,107,4873.379643,0.774108036,0.404379632,1.914310155,0.055580538,0.208372889,-1.255077256,56,-2.730612556,HMG20B_M1582_1.02,397,560,,,,,,,,,,,,,,
CDX2,ENSG00000165556,592.8841046,57,144.8195139,-1.526706333,1.420059789,-1.075100038,0.282329942,0.531189506,-0.54924306,448,11.27181262,CDX2_M5313_1.02,56,561,,,,,,,,,,,,,,
TBP,ENSG00000112592,797.9507727,44,999.6641141,-0.252110033,0.226668078,-1.112243218,0.26603359,0.51498263,-0.575063524,454,9.73349912,TBP_M4708_1.02,64,562,,,,,,,,,,,,,,
TLX1,ENSG00000107807,184.8539368,117,72.363164,-0.004938888,1.450805543,-0.003404239,0.997283816,0.99857776,-0.001181229,264,3.058051364,TLX1_M6525_1.02,184.5,565.5,,,,,,,,,,,,,,
DMRTC2,ENSG00000142025,422.8752199,72,1.467076665,2.276123755,2.088093653,1.090048692,0.275691696,0.524255619,-0.559576315,119,-2.375073482,DMRTC2_M0637_1.02,387,578,,,,,,,,,,,,,,
HSF1,ENSG00000185122,79.7948675,198,2489.988588,-0.088749444,0.284763694,-0.31165997,0.755298953,0.881345639,-0.121881117,306,7.570097836,HSF1_M4569_1.02,79,583,,,,,,,,,,,,,,
NPAS1,ENSG00000130751,30.56662719,276.5,87.57811434,1.266446796,0.498431791,2.540862802,0.01105793,0.07517384,-1.956326157,32,0.52314841,NPAS1_M5234_1.02,276.5,585,,,,,,,,,,,,,,
NFYA,ENSG00000001167,272.8798561,89,2844.480465,-0.241127926,0.269764575,-0.893845776,0.371404413,0.616635212,-0.43015294,416,7.019755591,NFYA_M1890_1.02,83,588,,,,,,,,,,,,,,
ZSCAN16,ENSG00000196812,131.4490296,149,374.9087041,-0.052257719,0.36746816,-0.142210196,0.886913978,0.948397202,-0.0521185,282,3.678024123,ZSCAN16_M5973_1.02,157,588,,,,,,,,,,,,,,
OSR2,ENSG00000164920,33.26267416,271,390.4520555,1.16413024,0.558682948,2.083704619,0.037187044,0.163099042,-1.429608344,46,0.52550133,OSR2_M0396_1.02,274,591,,,,,,,,,,,,,,
FOXF2,ENSG00000137273,1605.210263,14,110.9518259,-2.904661328,1.606408463,-1.808171082,0.070579878,0.240149817,-1.151319097,547,25.02701118,FOXF2_M6239_1.02,33,594,,,,,,,,,,,,,,
RORC,ENSG00000143365,37.5163391,260,258.9570531,2.364195052,1.186456799,1.992651611,0.04629961,0.187677779,-1.334422672,50,0.417137045,RORC_M6455_1.02,286,596,,,,,,,,,,,,,,
FOXD1,ENSG00000251493,830.5504836,40.5,11.94365525,-1.359897874,0.809032496,-1.680894007,0.092783504,0.283098944,-1.032529229,535,26.06700986,FOXD1_M1863_1.02,22.5,598,,,,,,,,,,,,,,
